"INST
CODE",INSTITUTE NAME,PLACE,DIST,COED,TYPE,"YEAR OF
ESTB",BRANCH NAME,,"OC
BOYS","OC
GIRLS","BC_A
BOYS","BC_A
GIRLS","BC_B
BOYS","BC_B
GIRLS","BC_C
BOYS","BC_C
GIRLS","BC_D
BOYS","BC_D
GIRLS","BC_E
BOYS","BC_E
GIRLS","SC
BOYS","SC
GIRLS","ST
BOYS","ST
GIRLS","EWS
GEN OU","EWS
GIRLS OU","TUITION
FEE",AFFILIATED
AARM,"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,HYD,COED,PVT,2010,CSE,,26935,47023,80090,80090,54323,91506,26935,47023,53812,70033,43444,90877,89382,89677,70043,70043,60761,61593,48000,JNTUH
AARM,"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,HYD,COED,PVT,2010,CSM,,57128,69125,98903,102777,97978,97978,95245,95245,95798,95798,112289,112289,117883,118818,57128,120527,72657,84274,48000,JNTUH
AARM,"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,HYD,COED,PVT,2010,ECE,,79896,79896,104223,104223,114841,114841,79896,79896,102562,105461,79896,79896,121146,121146,79896,79896,79896,93226,48000,JNTUH
AARM,"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,HYD,COED,PVT,2010,EEE,,85833,85833,107455,107455,111279,119103,85833,85833,85833,96049,85833,85833,114298,114298,85833,85833,85833,85833,48000,JNTUH
AARM,"AAR MAHAVEER ENGINEERING
COLLEGE",BANDLAGUDA,HYD,COED,PVT,2010,MEC,,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,120983,48000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,CIV,,25471,27922,117847,117847,119228,119228,25471,27922,113753,113753,25471,114957,121412,121412,78789,120222,25471,27922,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,CSD,,31438,31438,79168,89371,52100,53546,40117,40117,45724,45724,76522,94193,97278,97278,63600,76769,39954,44289,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,CSE,,22370,29631,45073,62671,36733,43148,69778,69778,38578,38578,59677,68174,66887,82811,59104,77602,33990,33990,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,CSM,,43220,43220,94157,98646,57510,79965,103971,103971,56274,56274,61042,84200,120318,120318,104598,115294,46948,51927,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,CSO,,48413,57127,83497,110447,78725,78725,48413,57127,57423,57423,94474,94474,118379,118379,117222,117222,64528,64528,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,ECE,,39027,40651,112896,112896,110826,110826,39027,40651,82415,86978,110306,112295,120714,121084,114932,116742,61489,101663,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,EEE,,117331,117331,117331,117331,117331,117331,117331,117331,117331,117331,117331,117331,117331,117331,117331,117331,117331,117331,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,INF,,27337,27781,90758,90758,61294,70776,27337,27781,62532,68880,72245,72245,84601,118977,95531,119868,46464,46464,82000,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,2007,MEC,,100647,100647,100647,100647,100647,100647,100647,100647,100647,100647,100647,100647,100647,100647,100647,100647,100647,100647,82000,JNTUH
AITH,"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,RR,COED,PVT,2005,CIV,,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,116465,66000,JNTUH
AITH,"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,RR,COED,PVT,2005,CSE,,73180,73180,115263,115263,104697,111811,73180,90151,86559,106392,111627,111780,121183,121183,120185,120185,107703,107703,66000,JNTUH
AITH,"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,RR,COED,PVT,2005,ECE,,34209,84065,34209,84065,99812,107034,34209,84065,102044,102044,113986,113986,118131,118131,95805,95805,55722,84065,66000,JNTUH
AITH,"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,RR,COED,PVT,2005,EEE,,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,121314,66000,JNTUH
AITH,"ANNAMACHARYA INST OF
TECHNOLOGY AND SCI",HAYATHNAGAR,RR,COED,PVT,2005,MEC,,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,86515,66000,JNTUH
AKIT,"ABDULKALAM INST OF
TECHNOLOGY AND SCI",KOTHAGUDEM,KGM,COED,PVT,2007,CIV,,73722,86118,102254,102254,117513,117513,73722,86118,120427,120427,73722,103093,117105,120963,87815,120264,74539,86118,52000,JNTUH
AKIT,"ABDULKALAM INST OF
TECHNOLOGY AND SCI",KOTHAGUDEM,KGM,COED,PVT,2007,CSE,,67986,76198,86688,86688,114976,114976,80081,80081,88203,88203,89509,89509,117940,117940,119875,119875,102071,102071,52000,JNTUH
AKIT,"ABDULKALAM INST OF
TECHNOLOGY AND SCI",KOTHAGUDEM,KGM,COED,PVT,2007,ECE,,60468,60468,84208,84208,113895,113895,60468,60468,92315,93591,77228,77228,110987,110987,60468,60468,60468,60468,52000,JNTUH
AKIT,"ABDULKALAM INST OF
TECHNOLOGY AND SCI",KOTHAGUDEM,KGM,COED,PVT,2007,EEE,,88290,88290,119165,119165,120883,120883,88290,88290,89380,89380,105566,119880,119741,119741,109831,109831,88290,88290,52000,JNTUH
AKIT,"ABDULKALAM INST OF
TECHNOLOGY AND SCI",KOTHAGUDEM,KGM,COED,PVT,2007,MEC,,75617,75617,75617,111947,75617,75617,75617,75617,110416,110416,75617,75617,115701,115701,116337,118979,75617,75617,52000,JNTUH
AKIT,"ABDULKALAM INST OF
TECHNOLOGY AND SCI",KOTHAGUDEM,KGM,COED,PVT,2007,MIN,,48290,48290,48290,48290,48290,48290,48290,48290,48290,48290,48290,48290,48290,48290,117325,117325,48290,48290,52000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,CIV,,114935,114935,117946,117946,114935,114935,114935,114935,114935,114935,114935,114935,118134,118134,118687,118687,114935,114935,73000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,CSE,,50866,50866,74168,88368,66189,78928,50866,50866,63233,63233,61819,61819,105282,105282,98394,98394,50866,50866,73000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,ECE,,57722,61510,110790,110790,115036,115036,57722,103576,113129,114099,104019,113425,119654,120103,105697,112474,81412,81412,73000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,EEE,,63931,98078,63931,98078,104585,111290,63931,98078,75024,98078,63931,98078,120631,120631,71382,119227,63931,98078,73000,JNTUH
ANRK,ANURAG ENGINEERING COLLGE,KODAD,SRP,COED,PVT,2001,MEC,,82643,114648,82643,114648,82643,114648,82643,114648,82643,114648,82643,114648,107937,114648,82643,114648,82643,114648,73000,JNTUH
ANRP,ANURAG PHARMACY COLLEGE,KODADA,SRP,COED,PVT,2007,PHM,,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,89597,65000,JNTUH
ARJN,"ARJUN COLLEGE OF TECHNOLOGY
AND SCIENCE",BATASINGARAM,RR,COED,PVT,2006,CIV,,100746,100746,100746,100746,100746,100746,100746,100746,100746,100746,100746,100746,100746,100746,100746,100746,100746,100746,57000,JNTUH
ARJN,"ARJUN COLLEGE OF TECHNOLOGY
AND SCIENCE",BATASINGARAM,RR,COED,PVT,2006,CSE,,63185,63185,102726,111672,115119,115119,63185,63185,63185,106304,104041,104041,113955,113955,119475,119475,95252,95252,57000,JNTUH
ARJN,"ARJUN COLLEGE OF TECHNOLOGY
AND SCIENCE",BATASINGARAM,RR,COED,PVT,2006,CSM,,35139,86748,35139,108764,73027,86748,35139,86748,96180,96180,35139,121393,119717,119717,108623,108623,35139,86748,57000,JNTUH
ARJN,"ARJUN COLLEGE OF TECHNOLOGY
AND SCIENCE",BATASINGARAM,RR,COED,PVT,2006,ECE,,48126,48126,48126,48126,48126,48126,48126,48126,48126,48126,48126,48126,120866,120866,121170,121170,48126,48126,57000,JNTUH
ARYA,ARYA COLLEGE OF PHARMACY,KANDI,SRD,COED,PVT,2007,PHD,,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,27073,68000,OU
ARYA,ARYA COLLEGE OF PHARMACY,KANDI,SRD,COED,PVT,2007,PHM,,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,83008,45000,OU
ASRA,"AVANTHIS SCIENTIFIC TECH AND
RESEARCH ACADEMY",HAYATHNAGAR,RR,COED,PVT,2008,CIV,,114458,114458,114458,114458,114458,114458,114458,114458,114458,114458,114458,114458,115272,115272,114458,114458,114458,114458,50000,JNTUH
ASRA,"AVANTHIS SCIENTIFIC TECH AND
RESEARCH ACADEMY",HAYATHNAGAR,RR,COED,PVT,2008,CSE,,48672,48672,114311,114311,92723,109524,48672,48672,106883,106883,63914,63914,113502,120626,87122,121287,82521,82521,50000,JNTUH
ASRA,"AVANTHIS SCIENTIFIC TECH AND
RESEARCH ACADEMY",HAYATHNAGAR,RR,COED,PVT,2008,CSM,,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,117014,50000,JNTUH
ASRA,"AVANTHIS SCIENTIFIC TECH AND
RESEARCH ACADEMY",HAYATHNAGAR,RR,COED,PVT,2008,ECE,,75543,75543,75543,80899,89381,89381,75543,75543,75543,83584,75543,75543,75543,75543,75543,75543,110168,110168,50000,JNTUH
AURP,"AURORAS TECHNOLOGICAL AND
RESEARCH INSTITUTE",PARVATHAPUR,MDL,COED,PVT,1999,CIV,,95767,95767,95767,95767,95767,95767,95767,95767,95767,95767,95767,95767,95767,95767,95767,95767,95767,95767,72000,JNTUH
AURP,"AURORAS TECHNOLOGICAL AND
RESEARCH INSTITUTE",PARVATHAPUR,MDL,COED,PVT,1999,CSE,,61792,81108,88182,99658,113281,113281,102225,102225,104161,112712,114933,114933,120758,120758,116868,116886,99631,106259,72000,JNTUH
AURP,"AURORAS TECHNOLOGICAL AND
RESEARCH INSTITUTE",PARVATHAPUR,MDL,COED,PVT,1999,CSM,,101230,101230,101230,101230,101230,101230,101230,101230,101230,101230,101230,101230,112636,112636,101230,101230,108827,108827,72000,JNTUH
AURP,"AURORAS TECHNOLOGICAL AND
RESEARCH INSTITUTE",PARVATHAPUR,MDL,COED,PVT,1999,ECE,,97609,97609,97609,97609,102772,104750,97609,97609,109589,109589,97609,97609,111945,111945,97609,97609,97609,97609,72000,JNTUH
AURP,"AURORAS TECHNOLOGICAL AND
RESEARCH INSTITUTE",PARVATHAPUR,MDL,COED,PVT,1999,EEE,,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,72000,JNTUH
AURP,"AURORAS TECHNOLOGICAL AND
RESEARCH INSTITUTE",PARVATHAPUR,MDL,COED,PVT,1999,INF,,58829,58829,94116,102389,80652,107460,58829,58829,101929,101929,58829,102617,120966,120966,81326,81326,58829,58829,72000,JNTUH
AVHP,AVANTHI INST OF PHARMSCI,HAYATHNAGAR,RR,COED,PVT,2005,PHD,,55589,55589,55589,55589,55589,55589,55589,55589,55589,55589,55589,55589,55589,55589,55589,55589,55589,55589,75000,JNTUH
AVIH,"AVANTHI INST OF ENGG AND
TECHNOLOGY",HAYATHNAGAR,RR,COED,PVT,2005,CSD,,72109,78613,99623,113873,79431,79431,72109,78613,72109,78613,80942,95837,120898,120898,116136,116136,107055,107839,65000,JNTUH
AVIH,"AVANTHI INST OF ENGG AND
TECHNOLOGY",HAYATHNAGAR,RR,COED,PVT,2005,CSE,,47779,53219,114234,114234,112830,112830,112173,112173,115043,115043,112244,112244,120596,120596,117223,117223,89573,89573,65000,JNTUH
AVIH,"AVANTHI INST OF ENGG AND
TECHNOLOGY",HAYATHNAGAR,RR,COED,PVT,2005,CSM,,49230,49230,57262,84309,82417,102916,86793,86793,75849,79390,80287,80287,119381,119381,114029,114029,77143,103225,65000,JNTUH
AVIH,"AVANTHI INST OF ENGG AND
TECHNOLOGY",HAYATHNAGAR,RR,COED,PVT,2005,ECE,,79898,112836,113616,113616,99477,112836,79898,112836,113071,113071,79898,112836,108375,112864,117324,117324,79898,112836,65000,JNTUH
AVIH,"AVANTHI INST OF ENGG AND
TECHNOLOGY",HAYATHNAGAR,RR,COED,PVT,2005,EEE,,83327,83327,83327,83327,103385,103385,83327,83327,83327,83327,83327,86341,112499,112499,119387,119387,83327,83327,65000,JNTUH
AVIH,"AVANTHI INST OF ENGG AND
TECHNOLOGY",HAYATHNAGAR,RR,COED,PVT,2005,MEC,,58522,58522,58522,58522,58522,58522,112297,112297,58522,58522,58522,58522,71736,106030,58522,58522,58522,58522,65000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CIV,,45815,45815,120683,120683,118526,118968,45815,45815,110364,110364,106006,106006,119996,120598,107234,118910,45815,45815,78000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSC,,43261,50874,99379,112938,92117,110266,43261,50874,86067,112202,97096,97096,116684,118101,89931,116017,113047,113047,78000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSD,,45123,51266,76785,94782,90797,90797,77080,77080,75572,80806,104190,104190,108131,119197,80297,118642,97617,97617,78000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSE,,36840,44660,71561,89967,83727,105962,36840,78793,74424,74424,92039,94683,102397,120535,89096,103709,69177,69177,78000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSM,,40557,47795,60700,91442,101973,101973,40557,47795,87796,107614,95958,95958,116469,119960,94855,103910,84806,102594,78000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,ECE,,55855,77540,110042,110042,109331,112069,55855,77540,102373,102373,110600,110600,120820,120820,116819,120209,101260,101260,78000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,MEC,,30467,30467,30467,30467,56403,108565,30467,30467,105818,105818,30467,30467,120485,120485,109990,109990,30467,30467,78000,JNTUH
AZAD,"AZAD COLLEGE OF ENGINEERING
AND TECHNOLOGY",MOINABAD,RR,COED,PVT,2005,CSE,,63253,63253,90048,90048,63253,63253,63253,63253,63253,103191,63253,102352,119069,119069,114025,114025,63253,63253,35000,JNTUH
BIET,"BHARAT INSTITUTE OF ENGG AND
TECHNOLOGY",IBRAHIMPATNAM,RR,COED,PVT,2001,AID,,45823,45823,45823,45823,45823,79509,45823,45823,109953,109953,81499,81499,60131,60131,92156,92156,45823,45823,89000,JNTUH
BIET,"BHARAT INSTITUTE OF ENGG AND
TECHNOLOGY",IBRAHIMPATNAM,RR,COED,PVT,2001,CIV,,44342,44342,44342,116251,97892,97892,44342,44342,44342,117860,44342,44342,120341,120341,118819,121304,44342,44342,89000,JNTUH
BIET,"BHARAT INSTITUTE OF ENGG AND
TECHNOLOGY",IBRAHIMPATNAM,RR,COED,PVT,2001,CSC,,108046,108046,108046,108046,108252,108252,108046,108046,108046,108046,108046,108046,108046,108046,108046,108046,108046,108046,89000,JNTUH
BIET,"BHARAT INSTITUTE OF ENGG AND
TECHNOLOGY",IBRAHIMPATNAM,RR,COED,PVT,2001,CSD,,64125,66353,64125,66353,97659,112011,64125,66353,109801,109801,64125,66353,108326,108326,112928,112928,79654,102532,89000,JNTUH
BIET,"BHARAT INSTITUTE OF ENGG AND
TECHNOLOGY",IBRAHIMPATNAM,RR,COED,PVT,2001,CSE,,49990,51839,101341,112352,88060,103587,85080,85080,82463,82463,113983,113983,121179,121302,89301,120597,61313,68670,89000,JNTUH
